-,S,r,R,g,G,m,M,P,d,D,n,N
S,0,0,0,1,0,1,0,0,1,0,1,0
r,0,0,0,0,0,0,0,0,0,0,0,0
R,1,0,0,1,0,0,0,0,0,0,1,0
g,1,0,1,0,0,1,0,0.5,1,0,1,0
G,0,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,1,0,0,0,0.5,1,0,1,0
M,0,0,0,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,1,0,0,0,0,0,0
d,0,0,0,0.5,0,1,0,1,0,0,1,0
D,0,0,0,0,0,0,0,0,0,0,0,0
n,1,0,0,1,0,0.5,0,0,1,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0
