-,S,r,R,g,G,m,M,P,d,D,n,N
S,0,0,1,0,0.5,0,0,1,0,1,0,0
r,0,0,0,0,0,0,0,0,0,0,0,0
R,1,0,0,0,1,0,0,1,0,1,0,0
g,0,0,0,0,0,0,0,0,0,0,0,0
G,0.5,0,1,0,0,0,0,1,0,1,0,0
m,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0
P,1,0,1,0,1,0,0,0,0,1,0,0
d,0,0,0,0,0,0,0,0,0,0,0,0
D,1,0,1,0,1,0,0,1,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0
