-,S,r,R,g,G,m,M,P,d,D,n,N
S,0,0,1,0,0.5,1,0,0.5,1,0,0,1
r,0,0,0,0,0,0,0,0,0,0,0,0
R,1,0,0,0,1,0.5,0,0,0,0,0,1
g,0,0,0,0,0,0,0,0,0,0,0,0
G,1,0,1,0,0,1,0,0.5,1,0,0,0
m,1,0,1,0,1,0,0,1,1,0,0,0.5
M,0,0,0,0,0,0,0,0,0,0,0,0
P,0,0,1,0,1,1,0,0,1,0,0,1
d,1,0,1,0,0.5,1,0,1,0,0,0,1
D,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0
N,1,0,1,0,0,0.5,0,1,1,0,0,0
