-,S,r,R,g,G,m,M,P,d,D,n,N
S,0,0.5,0,0,1,1,0,1,0,1,1,0
r,1,0,0,0,1,0.5,0,0.5,0,0.5,1,0
R,0,0,0,0,0,0,0,0,0,0,0,0
g,0,0,0,0,0,0,0,0,0,0,0,0
G,1,1,0,0,0,1,0,1,0,1,1,0
m,0.5,1,0,0,1,0,0,1,0,1,1,0
M,0,0,0,0,0,0,0,0,0,0,0,0
P,0.5,0.5,0,0,1,1,0,0,0,1,1,0
d,0,0,0,0,0,0,0,0,0,0,0,0
D,0.5,1,0,0,0.5,1,0,1,0,0,1,0
n,1,1,0,0,1,0.5,0,1,0,1,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0
