-,S,r,R,g,G,m,M,P,d,D,n,N
S,0,1,0,1,0,0,0.5,0.5,1,0,0,1
r,1,0,0,1,0,0,0.5,0,0,0,0,1
R,0,0,0,0,0,0,0,0,0,0,0,0
g,1,1,0,0,0,0,1,1,1,0,0,0.5
G,0,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,0,0
M,0,1,0,1,0,0,0,0.5,1,0,0,0.5
P,0,0,0,1,0,0,0,0,1,0,0,0
d,1,0.5,0,1,0,0,1,1,0,0,0,1
D,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,0,0
N,1,1,0,0,0,0,0.5,1,1,0,0,0
